file,loc
app.py,1900
surfaces.py,1811
tests/test_styles_palette.py,1262
panels/appearance.py,738
panels/parameter_grid_panel.py,719
styles.py,708
tests/test_numba_field_kernels.py,708
panels/view.py,503
tests/test_mesh_export.py,451
tests/test_enriques_hq_smoothing.py,441
icons.py,373
panels/parameters.py,368
parameter_grid.py,362
tests/test_mesh_generators.py,358
tests/test_icons.py,347
tests/test_qsettings_persistence.py,343
tests/test_coarse_n.py,323
tests/test_parameter_grid.py,321
tests/test_render_busy_spinner.py,286
ui_helpers.py,264
tests/test_hq_disable_toast.py,246
tests/test_render_worker.py,236
render_worker.py,225
tests/test_status_bar_bbox.py,172
tests/test_debounce.py,157
tests/test_clip_domain.py,147
tests/test_render_queue_latest.py,140
tests/test_clip_cache.py,137
tests/test_typical_ms.py,135
tests/test_grid_helpers.py,119
tests/test_parameters_panel.py,110
tests/test_panels_shims.py,97
tests/test_marching_cubes_empty.py,69
appearance_panel.py,18
parameter_grid_panel.py,18
parameters_panel.py,18
view_panel.py,18
panels/__init__.py,13
tests/__init__.py,0
