
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       104 |        104 |   _io
import time:        14 |         14 |   marshal
import time:        93 |         93 |   posix
import time:       112 |        320 | _frozen_importlib_external
import time:       254 |        254 |   time
import time:        36 |        289 | zipimport
import time:        43 |         43 |     _codecs
import time:        77 |        119 |   codecs
import time:       185 |        185 |   encodings.aliases
import time:       249 |        552 | encodings
import time:        81 |         81 | encodings.utf_8
import time:        32 |         32 | _signal
import time:         9 |          9 |     _abc
import time:        42 |         51 |   abc
import time:        55 |        106 | io
import time:        19 |         19 |       _stat
import time:        18 |         37 |     stat
import time:       279 |        279 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        19 |         34 |     posixpath
import time:       109 |        457 |   os
import time:        22 |         22 |   _sitebuiltins
import time:        91 |         91 |   encodings.utf_8_sig
import time:        97 |         97 |         types
import time:        54 |         54 |           _operator
import time:       106 |        160 |         operator
import time:        69 |         69 |             itertools
import time:        54 |         54 |             keyword
import time:        71 |         71 |             reprlib
import time:        19 |         19 |             _collections
import time:       273 |        484 |           collections
import time:        16 |         16 |           _functools
import time:       227 |        726 |         functools
import time:       479 |       1460 |       enum
import time:        23 |         23 |         _sre
import time:        98 |         98 |           re._constants
import time:       190 |        287 |         re._parser
import time:        51 |         51 |         re._casefix
import time:       155 |        515 |       re._compiler
import time:        68 |         68 |       copyreg
import time:       188 |       2230 |     re
import time:       297 |       2527 |   sitecustomize
import time:       432 |       3528 | site
import time:        81 |         81 |   __future__
import time:       283 |        283 |   unicodedata
import time:        65 |         65 |         fnmatch
import time:        29 |         29 |           _winapi
import time:        26 |         26 |           nt
import time:        24 |         24 |           nt
import time:        23 |         23 |           nt
import time:        22 |         22 |           nt
import time:        22 |         22 |           nt
import time:        22 |         22 |           nt
import time:        29 |        193 |         ntpath
import time:       117 |        117 |         warnings
import time:        20 |         20 |         errno
import time:        78 |         78 |           urllib
import time:       301 |        301 |           math
import time:       469 |        469 |           ipaddress
import time:       729 |       1575 |         urllib.parse
