
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       106 |        106 |   _io
import time:        12 |         12 |   marshal
import time:        91 |         91 |   posix
import time:       111 |        318 | _frozen_importlib_external
import time:       315 |        315 |   time
import time:        39 |        354 | zipimport
import time:        45 |         45 |     _codecs
import time:        78 |        123 |   codecs
import time:       185 |        185 |   encodings.aliases
import time:       277 |        584 | encodings
import time:        86 |         86 | encodings.utf_8
import time:        32 |         32 | _signal
import time:         9 |          9 |     _abc
import time:        41 |         49 |   abc
import time:        54 |        102 | io
import time:        31 |         31 |       _stat
import time:        18 |         48 |     stat
import time:       294 |        294 |     _collections_abc
import time:        17 |         17 |       genericpath
import time:        21 |         38 |     posixpath
import time:       119 |        497 |   os
import time:        25 |         25 |   _sitebuiltins
import time:       103 |        103 |   encodings.utf_8_sig
import time:       103 |        103 |         types
import time:        59 |         59 |           _operator
import time:       109 |        168 |         operator
import time:        68 |         68 |             itertools
import time:        55 |         55 |             keyword
import time:        76 |         76 |             reprlib
import time:        20 |         20 |             _collections
import time:       287 |        504 |           collections
import time:        16 |         16 |           _functools
import time:       248 |        767 |         functools
import time:       513 |       1549 |       enum
import time:        23 |         23 |         _sre
import time:        97 |         97 |           re._constants
import time:       202 |        298 |         re._parser
import time:        52 |         52 |         re._casefix
import time:       161 |        534 |       re._compiler
import time:        74 |         74 |       copyreg
import time:       199 |       2354 |     re
import time:       312 |       2666 |   sitecustomize
import time:       511 |       3799 | site
import time:        87 |         87 |   __future__
import time:       313 |        313 |   unicodedata
import time:        68 |         68 |         fnmatch
import time:        30 |         30 |           _winapi
import time:        32 |         32 |           nt
import time:        32 |         32 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        29 |        232 |         ntpath
import time:       125 |        125 |         warnings
import time:        24 |         24 |         errno
import time:        67 |         67 |           urllib
import time:       288 |        288 |           math
import time:       475 |        475 |           ipaddress
import time:       694 |       1524 |         urllib.parse
import time:       330 |       2301 |       pathlib
import time:       274 |        274 |           binascii
import time:        79 |         79 |             importlib
import time:        90 |         90 |             importlib._abc
import time:        52 |        221 |           importlib.util
import time:       230 |        230 |             zlib
import time:        88 |         88 |               _compression
import time:       246 |        246 |               _bz2
import time:       102 |        435 |             bz2
import time:       420 |        420 |               _lzma
import time:       103 |        522 |             lzma
import time:       275 |       1462 |           shutil
import time:       249 |        249 |             _struct
import time:        69 |        318 |           struct
import time:        89 |         89 |             _weakrefset
import time:       265 |        354 |           threading
import time:       244 |        244 |             contextlib
import time:        78 |         78 |             zipfile._path.glob
import time:       156 |        477 |           zipfile._path
import time:       319 |       3421 |         zipfile
import time:       105 |        105 |         base64
import time:       323 |        323 |         textwrap
import time:        80 |         80 |           collections.abc
import time:        80 |         80 |               token
import time:        13 |         13 |               _tokenize
import time:       337 |        429 |             tokenize
import time:        73 |        501 |           linecache
import time:       231 |        811 |         traceback
import time:       247 |        247 |               _bisect
import time:        61 |        308 |             bisect
import time:       262 |        262 |             _random
