
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       103 |        103 |   _io
import time:        13 |         13 |   marshal
import time:       101 |        101 |   posix
import time:       111 |        327 | _frozen_importlib_external
import time:       291 |        291 |   time
import time:        48 |        338 | zipimport
import time:        51 |         51 |     _codecs
import time:        85 |        135 |   codecs
import time:       189 |        189 |   encodings.aliases
import time:       295 |        618 | encodings
import time:        84 |         84 | encodings.utf_8
import time:        35 |         35 | _signal
import time:        10 |         10 |     _abc
import time:        43 |         53 |   abc
import time:        55 |        107 | io
import time:        18 |         18 |       _stat
import time:        18 |         36 |     stat
import time:       282 |        282 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        17 |         32 |     posixpath
import time:       107 |        455 |   os
import time:        24 |         24 |   _sitebuiltins
import time:        93 |         93 |   encodings.utf_8_sig
import time:       101 |        101 |         types
import time:        56 |         56 |           _operator
import time:       112 |        168 |         operator
import time:        71 |         71 |             itertools
import time:        50 |         50 |             keyword
import time:        74 |         74 |             reprlib
import time:        21 |         21 |             _collections
import time:       284 |        499 |           collections
import time:        16 |         16 |           _functools
import time:       235 |        749 |         functools
import time:       498 |       1514 |       enum
import time:        27 |         27 |         _sre
import time:       106 |        106 |           re._constants
import time:       205 |        311 |         re._parser
import time:        50 |         50 |         re._casefix
import time:       170 |        557 |       re._compiler
import time:        66 |         66 |       copyreg
import time:       191 |       2327 |     re
import time:       304 |       2631 |   sitecustomize
import time:       449 |       3650 | site
import time:        83 |         83 |   __future__
import time:       292 |        292 |   unicodedata
import time:        71 |         71 |         fnmatch
import time:        28 |         28 |           _winapi
import time:        28 |         28 |           nt
import time:        24 |         24 |           nt
import time:        23 |         23 |           nt
import time:        22 |         22 |           nt
import time:        22 |         22 |           nt
import time:        22 |         22 |           nt
import time:        29 |        195 |         ntpath
import time:       120 |        120 |         warnings
import time:        20 |         20 |         errno
import time:        63 |         63 |           urllib
import time:       279 |        279 |           math
import time:       479 |        479 |           ipaddress
import time:       695 |       1514 |         urllib.parse
import time:       329 |       2247 |       pathlib
import time:       256 |        256 |           binascii
import time:        82 |         82 |             importlib
import time:        97 |         97 |             importlib._abc
import time:        52 |        230 |           importlib.util
import time:       235 |        235 |             zlib
import time:        95 |         95 |               _compression
import time:       225 |        225 |               _bz2
import time:       102 |        421 |             bz2
import time:       394 |        394 |               _lzma
import time:       107 |        501 |             lzma
import time:       256 |       1412 |           shutil
