
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       155 |        155 |   _io
import time:        94 |         94 |   marshal
import time:       122 |        122 |   posix
import time:       159 |        528 | _frozen_importlib_external
import time:       523 |        523 |   time
import time:        58 |        581 | zipimport
import time:        62 |         62 |     _codecs
import time:       107 |        169 |   codecs
import time:       247 |        247 |   encodings.aliases
import time:       358 |        773 | encodings
import time:       103 |        103 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        12 |         12 |     _abc
import time:        51 |         63 |   abc
import time:        68 |        130 | io
import time:        24 |         24 |       _stat
import time:        22 |         45 |     stat
import time:       349 |        349 |     _collections_abc
import time:        18 |         18 |       genericpath
import time:        23 |         41 |     posixpath
import time:       130 |        563 |   os
import time:        26 |         26 |   _sitebuiltins
import time:       113 |        113 |   encodings.utf_8_sig
import time:       111 |        111 |         types
import time:        56 |         56 |           _operator
import time:       123 |        179 |         operator
import time:        80 |         80 |             itertools
import time:        56 |         56 |             keyword
import time:        82 |         82 |             reprlib
import time:        24 |         24 |             _collections
import time:       322 |        562 |           collections
import time:        18 |         18 |           _functools
import time:       247 |        826 |         functools
import time:       547 |       1662 |       enum
import time:        27 |         27 |         _sre
import time:       114 |        114 |           re._constants
import time:       221 |        335 |         re._parser
import time:        58 |         58 |         re._casefix
import time:       177 |        595 |       re._compiler
import time:        82 |         82 |       copyreg
import time:       214 |       2552 |     re
import time:       352 |       2904 |   sitecustomize
import time:       566 |       4169 | site
import time:       113 |        113 |   __future__
import time:       364 |        364 |   unicodedata
import time:        75 |         75 |         fnmatch
import time:        31 |         31 |           _winapi
import time:        30 |         30 |           nt
import time:        29 |         29 |           nt
import time:        29 |         29 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        32 |        231 |         ntpath
import time:       126 |        126 |         warnings
import time:        22 |         22 |         errno
import time:        67 |         67 |           urllib
import time:       284 |        284 |           math
import time:       530 |        530 |           ipaddress
import time:       793 |       1672 |         urllib.parse
import time:       351 |       2475 |       pathlib
import time:       271 |        271 |           binascii
import time:        74 |         74 |             importlib
import time:        92 |         92 |             importlib._abc
import time:        53 |        218 |           importlib.util
import time:       241 |        241 |             zlib
import time:       102 |        102 |               _compression
import time:       251 |        251 |               _bz2
import time:       105 |        458 |             bz2
import time:       809 |        809 |               _lzma
import time:       143 |        951 |             lzma
import time:       456 |       2104 |           shutil
import time:       412 |        412 |             _struct
import time:       175 |        587 |           struct
import time:       139 |        139 |             _weakrefset
import time:       380 |        518 |           threading
import time:       270 |        270 |             contextlib
import time:        89 |         89 |             zipfile._path.glob
import time:       205 |        563 |           zipfile._path
import time:       341 |       4599 |         zipfile
import time:       113 |        113 |         base64
import time:       362 |        362 |         textwrap
import time:        85 |         85 |           collections.abc
import time:        87 |         87 |               token
import time:        15 |         15 |               _tokenize
import time:       369 |        470 |             tokenize
import time:        72 |        542 |           linecache
import time:       256 |        882 |         traceback
import time:       270 |        270 |               _bisect
import time:        79 |        349 |             bisect
import time:       296 |        296 |             _random
import time:       306 |        306 |             _sha2
import time:       247 |       1197 |           random
import time:       190 |        190 |           weakref
import time:       193 |       1578 |         tempfile
import time:        22 |         22 |           _typing
import time:      1115 |       1137 |         typing
import time:        32 |         32 |           importlib.machinery
import time:       137 |        137 |           encodings.cp437
import time:        51 |         51 |           shibokensupport
import time:        51 |         51 |           shibokensupport.signature
import time:        24 |         24 |                   _ast
import time:       571 |        594 |                 ast
import time:       374 |        374 |                     _opcode
import time:       201 |        574 |                   opcode
import time:       463 |       1037 |                 dis
import time:      1140 |       2770 |               inspect
import time:       407 |       3177 |             shibokensupport.feature
import time:      2335 |       2335 |             shibokensupport.signature.mapping
import time:       465 |        465 |             shibokensupport.signature.errorhandler
import time:        59 |         59 |                   shibokensupport.signature.lib
import time:       284 |        343 |                 shibokensupport.signature.lib.tool
import time:      3525 |       3867 |               shibokensupport.signature.parser
import time:      1070 |       4937 |             shibokensupport.signature.layout
import time:       243 |        243 |               PySide6.support
import time:        86 |         86 |               PySide6.support.deprecated
import time:       130 |        459 |             shibokensupport.signature.importhandler
import time:      1095 |       1095 |             shibokensupport.signature.lib.enum_sig
import time:       432 |        432 |                 gettext
import time:       609 |       1041 |               argparse
import time:        21 |         21 |                   _string
import time:       308 |        329 |                 string
import time:        65 |         65 |                 atexit
import time:       842 |       1235 |               logging
import time:      4640 |       6915 |             shibokensupport.signature.lib.pyi_generator
import time:       371 |      19750 |           shibokensupport.signature.loader
import time:      2416 |      22434 |         shiboken6.Shiboken
import time:       121 |      31223 |       shiboken6
import time:       259 |      33956 |     PySide6
import time:     11517 |      45472 |   PySide6.QtCore
import time:      4769 |       4769 |   PySide6.QtGui
import time:      3994 |       3994 |   PySide6.QtWidgets
import time:       720 |        720 |         _csv
import time:       353 |       1072 |       csv
import time:       140 |        140 |       email
import time:        91 |         91 |           quopri
import time:       818 |        818 |               _socket
import time:       581 |        581 |                 select
import time:       427 |       1007 |               selectors
import time:       587 |        587 |               array
import time:       705 |       3116 |             socket
import time:       595 |        595 |               _datetime
import time:       100 |        695 |             datetime
import time:        43 |         43 |                   _locale
import time:       748 |        791 |                 locale
import time:      1011 |       1801 |               calendar
import time:       234 |       2035 |             email._parseaddr
import time:       170 |        170 |               email.base64mime
import time:       202 |        202 |               email.quoprimime
import time:       266 |        266 |               email.errors
import time:        75 |         75 |               email.encoders
import time:       348 |       1060 |             email.charset
import time:      1428 |       8332 |           email.utils
import time:       636 |        636 |             email.header
import time:       478 |       1114 |           email._policybase
import time:       184 |        184 |           email._encoded_words
import time:       129 |        129 |           email.iterators
import time:      1318 |      11166 |         email.message
import time:        66 |         66 |           importlib.metadata._functools
import time:       277 |        343 |         importlib.metadata._text
import time:       397 |      11905 |       importlib.metadata._adapters
import time:       599 |        599 |       importlib.metadata._meta
import time:       164 |        164 |       importlib.metadata._collections
import time:        68 |         68 |       importlib.metadata._itertools
import time:       189 |        189 |             importlib.resources.abc
import time:       185 |        185 |             importlib.resources._adapters
import time:       852 |       1225 |           importlib.resources._common
import time:        93 |         93 |           importlib.resources._legacy
import time:       249 |       1567 |         importlib.resources
import time:      1109 |       2676 |       importlib.abc
import time:      2790 |      19411 |     importlib.metadata
import time:       245 |        245 |       email.feedparser
import time:       202 |        446 |     email.parser
import time:        31 |         31 |         _wmi
import time:       268 |        299 |       platform
import time:        82 |         82 |         packaging
import time:       914 |        996 |       packaging.version
import time:      3330 |       3330 |         PySide6.QtDataVisualization
import time:       256 |       3585 |       qtpy.QtDataVisualization
import time:       562 |       5441 |     qtpy
import time:        71 |         71 |       qtpy._utils
import time:      6459 |       6529 |     qtpy.QtCore
import time:       108 |        108 |         numpy.version
import time:        67 |         67 |         numpy._expired_attrs_2_0
