file,loc
app.py,1900
tests/test_styles_palette.py,1263
_qt/panels/appearance.py,738
_qt/panels/parameter_grid_panel.py,719
_qt/styles.py,708
tests/test_numba_field_kernels.py,708
_qt/panels/view.py,486
tests/test_mesh_export.py,451
tests/test_enriques_hq_smoothing.py,441
varieties/_kernels.py,426
_qt/icons.py,373
_qt/panels/parameters.py,368
parameter_grid.py,362
tests/test_mesh_generators.py,358
tests/test_icons.py,349
tests/test_qsettings_persistence.py,343
tests/test_coarse_n.py,323
tests/test_parameter_grid.py,321
varieties/_marching.py,288
tests/test_render_busy_spinner.py,287
varieties/fano.py,266
_qt/ui_helpers.py,264
tests/test_hq_disable_toast.py,246
tests/test_render_worker.py,236
varieties/enriques.py,228
render/worker.py,225
varieties/k3.py,189
varieties/calabi_yau.py,184
varieties/tooltips.py,180
tests/test_status_bar_bbox.py,172
tests/test_debounce.py,157
tests/test_clip_domain.py,147
tests/test_render_queue_latest.py,140
varieties/registry.py,139
tests/test_clip_cache.py,137
tests/test_typical_ms.py,135
surfaces.py,123
tests/test_grid_helpers.py,119
tests/test_parameters_panel.py,110
tests/test_r2_shims.py,108
varieties/dispatch.py,89
cross_section/clip.py,70
tests/test_marching_cubes_empty.py,69
varieties/types.py,67
panels/__init__.py,40
varieties/__init__.py,34
ui_helpers.py,27
cross_section/__init__.py,23
icons.py,23
render_worker.py,23
styles.py,22
_qt/__init__.py,20
_qt/panels/__init__.py,13
render/__init__.py,10
tests/__init__.py,0
