
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       105 |        105 |   _io
import time:        14 |         14 |   marshal
import time:        93 |         93 |   posix
import time:       113 |        325 | _frozen_importlib_external
import time:       307 |        307 |   time
import time:        44 |        350 | zipimport
import time:        49 |         49 |     _codecs
import time:        81 |        129 |   codecs
import time:       185 |        185 |   encodings.aliases
import time:       256 |        569 | encodings
import time:        82 |         82 | encodings.utf_8
import time:        34 |         34 | _signal
import time:        10 |         10 |     _abc
import time:        42 |         51 |   abc
import time:        55 |        105 | io
import time:        19 |         19 |       _stat
import time:        18 |         36 |     stat
import time:       284 |        284 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        17 |         32 |     posixpath
import time:       106 |        457 |   os
import time:        21 |         21 |   _sitebuiltins
import time:        91 |         91 |   encodings.utf_8_sig
import time:       121 |        121 |         types
import time:        67 |         67 |           _operator
import time:       129 |        195 |         operator
import time:        80 |         80 |             itertools
import time:        59 |         59 |             keyword
import time:        83 |         83 |             reprlib
import time:        22 |         22 |             _collections
import time:       314 |        555 |           collections
import time:        18 |         18 |           _functools
import time:       254 |        827 |         functools
import time:       519 |       1661 |       enum
import time:        23 |         23 |         _sre
import time:        97 |         97 |           re._constants
import time:       200 |        296 |         re._parser
import time:        53 |         53 |         re._casefix
import time:       158 |        529 |       re._compiler
import time:        65 |         65 |       copyreg
import time:       197 |       2451 |     re
import time:       307 |       2757 |   sitecustomize
import time:       480 |       3804 | site
import time:       113 |        113 |   __future__
import time:       343 |        343 |   unicodedata
import time:        75 |         75 |         fnmatch
import time:        30 |         30 |           _winapi
import time:        31 |         31 |           nt
import time:        30 |         30 |           nt
import time:        29 |         29 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        30 |        231 |         ntpath
import time:       123 |        123 |         warnings
import time:        25 |         25 |         errno
import time:        67 |         67 |           urllib
import time:       302 |        302 |           math
import time:       473 |        473 |           ipaddress
import time:       727 |       1567 |         urllib.parse
import time:       340 |       2359 |       pathlib
import time:       260 |        260 |           binascii
import time:        78 |         78 |             importlib
import time:        91 |         91 |             importlib._abc
import time:        49 |        216 |           importlib.util
import time:       226 |        226 |             zlib
import time:        88 |         88 |               _compression
import time:       218 |        218 |               _bz2
import time:       106 |        411 |             bz2
import time:       443 |        443 |               _lzma
import time:       106 |        549 |             lzma
import time:       262 |       1447 |           shutil
import time:       282 |        282 |             _struct
import time:        76 |        357 |           struct
import time:       125 |        125 |             _weakrefset
import time:       380 |        504 |           threading
import time:       270 |        270 |             contextlib
import time:        92 |         92 |             zipfile._path.glob
import time:       188 |        550 |           zipfile._path
import time:       346 |       3677 |         zipfile
import time:       116 |        116 |         base64
import time:       350 |        350 |         textwrap
import time:        80 |         80 |           collections.abc
import time:        83 |         83 |               token
import time:        15 |         15 |               _tokenize
import time:       367 |        464 |             tokenize
import time:        74 |        538 |           linecache
import time:       250 |        868 |         traceback
import time:       297 |        297 |               _bisect
import time:        69 |        365 |             bisect
import time:       297 |        297 |             _random
import time:       287 |        287 |             _sha2
import time:       228 |       1176 |           random
import time:       190 |        190 |           weakref
import time:       207 |       1572 |         tempfile
import time:        11 |         11 |           _typing
import time:       964 |        975 |         typing
import time:        30 |         30 |           importlib.machinery
import time:       129 |        129 |           encodings.cp437
import time:        49 |         49 |           shibokensupport
import time:        51 |         51 |           shibokensupport.signature
import time:        26 |         26 |                   _ast
import time:       536 |        561 |                 ast
import time:       323 |        323 |                     _opcode
import time:       185 |        507 |                   opcode
import time:       364 |        871 |                 dis
import time:       813 |       2244 |               inspect
import time:       407 |       2650 |             shibokensupport.feature
import time:      1912 |       1912 |             shibokensupport.signature.mapping
import time:       443 |        443 |             shibokensupport.signature.errorhandler
import time:        31 |         31 |                   shibokensupport.signature.lib
import time:       230 |        260 |                 shibokensupport.signature.lib.tool
import time:      3173 |       3432 |               shibokensupport.signature.parser
import time:       981 |       4412 |             shibokensupport.signature.layout
import time:       190 |        190 |               PySide6.support
import time:        86 |         86 |               PySide6.support.deprecated
import time:       121 |        397 |             shibokensupport.signature.importhandler
import time:      1005 |       1005 |             shibokensupport.signature.lib.enum_sig
import time:       271 |        271 |                 gettext
import time:       445 |        716 |               argparse
import time:        13 |         13 |                   _string
import time:       218 |        230 |                 string
import time:        55 |         55 |                 atexit
import time:       611 |        895 |               logging
import time:      4243 |       5853 |             shibokensupport.signature.lib.pyi_generator
import time:       389 |      17058 |           shibokensupport.signature.loader
import time:      2468 |      19781 |         shiboken6.Shiboken
import time:       103 |      27438 |       shiboken6
import time:       232 |      30027 |     PySide6
import time:     10540 |      40567 |   PySide6.QtCore
import time:      3957 |       3957 |   PySide6.QtGui
import time:      3535 |       3535 |   PySide6.QtWidgets
import time:       448 |        448 |         _csv
import time:       278 |        725 |       csv
import time:        91 |         91 |       email
import time:        82 |         82 |           quopri
import time:       596 |        596 |               _socket
import time:       477 |        477 |                 select
import time:       327 |        804 |               selectors
import time:       558 |        558 |               array
import time:       551 |       2507 |             socket
import time:       485 |        485 |               _datetime
import time:        77 |        561 |             datetime
import time:        30 |         30 |                   _locale
import time:       582 |        612 |                 locale
import time:       846 |       1457 |               calendar
import time:       203 |       1660 |             email._parseaddr
import time:       146 |        146 |               email.base64mime
import time:       168 |        168 |               email.quoprimime
import time:       249 |        249 |               email.errors
import time:        60 |         60 |               email.encoders
import time:       336 |        958 |             email.charset
import time:      1184 |       6868 |           email.utils
import time:       430 |        430 |             email.header
import time:       365 |        795 |           email._policybase
import time:       128 |        128 |           email._encoded_words
import time:        74 |         74 |           email.iterators
import time:       935 |       8880 |         email.message
import time:        68 |         68 |           importlib.metadata._functools
import time:       244 |        312 |         importlib.metadata._text
import time:       300 |       9491 |       importlib.metadata._adapters
import time:       534 |        534 |       importlib.metadata._meta
import time:       126 |        126 |       importlib.metadata._collections
import time:        57 |         57 |       importlib.metadata._itertools
import time:       159 |        159 |             importlib.resources.abc
import time:       162 |        162 |             importlib.resources._adapters
import time:       794 |       1115 |           importlib.resources._common
import time:        81 |         81 |           importlib.resources._legacy
import time:       181 |       1376 |         importlib.resources
import time:      1010 |       2385 |       importlib.abc
import time:      2880 |      16286 |     importlib.metadata
import time:       233 |        233 |       email.feedparser
import time:       191 |        424 |     email.parser
import time:        31 |         31 |         _wmi
import time:       226 |        256 |       platform
import time:        69 |         69 |         packaging
import time:       768 |        837 |       packaging.version
import time:      2656 |       2656 |         PySide6.QtDataVisualization
import time:       222 |       2877 |       qtpy.QtDataVisualization
import time:       478 |       4447 |     qtpy
import time:        68 |         68 |       qtpy._utils
import time:      6255 |       6322 |     qtpy.QtCore
import time:        96 |         96 |         numpy.version
import time:        62 |         62 |         numpy._expired_attrs_2_0
import time:        76 |         76 |             numpy._utils._convertions
import time:        91 |        166 |           numpy._utils
import time:       139 |        305 |         numpy._globals
import time:        12 |         12 |           numpy._distributor_init_local
import time:        58 |         69 |         numpy._distributor_init
import time:       110 |        110 |                   numpy.exceptions
import time:       118 |        118 |                   numpy._core._exceptions
import time:       707 |        707 |                       _contextvars
import time:        72 |        779 |                     contextvars
import time:        93 |        871 |                   numpy._core.printoptions
import time:        57 |         57 |                   numpy.dtypes
import time:      2928 |       4082 |                 numpy._core._multiarray_umath
import time:        71 |         71 |                   numpy._utils._inspect
import time:       184 |        254 |                 numpy._core.overrides
import time:       711 |       5046 |               numpy._core.multiarray
import time:        91 |         91 |               numpy._core.umath
import time:       189 |        189 |                 numbers
import time:        78 |         78 |                 numpy._core._dtype
import time:        56 |         56 |                 numpy._core._string_helpers
import time:       123 |        123 |                 numpy._core._type_aliases
import time:       454 |        897 |               numpy._core.numerictypes
import time:       113 |        113 |                           _compat_pickle
import time:       697 |        697 |                           _pickle
import time:       717 |       1527 |                         pickle
import time:       247 |       1774 |                       numpy._core._methods
import time:       306 |       2079 |                     numpy._core.fromnumeric
import time:       120 |       2199 |                   numpy._core.shape_base
import time:       125 |        125 |                   numpy._core._ufunc_config
import time:        65 |         65 |                   numpy._core._asarray
import time:       741 |        741 |                   numpy._core.arrayprint
import time:       651 |       3779 |                 numpy._core.numeric
import time:       135 |       3914 |               numpy._core.einsumfunc
import time:       101 |        101 |               numpy._core.function_base
import time:       168 |        168 |               numpy._core.getlimits
import time:        85 |         85 |               numpy._core.memmap
import time:       138 |        138 |               numpy._core.records
import time:      2556 |       2556 |               numpy._core._add_newdocs
import time:       315 |        315 |               numpy._core._add_newdocs_scalars
import time:        61 |         61 |               numpy._core._dtype_ctypes
import time:       871 |        871 |                   _ctypes
import time:       202 |        202 |                   ctypes._endian
import time:       445 |       1517 |                 ctypes
import time:       438 |       1954 |               numpy._core._internal
import time:       101 |        101 |               numpy._pytesttester
import time:       847 |      16268 |             numpy._core
import time:         9 |      16276 |           numpy._core._multiarray_umath
import time:       131 |      16406 |         numpy.__config__
import time:       114 |        114 |                           numpy._typing._nbit_base
import time:       161 |        161 |                           numpy._typing._nested_sequence
import time:        53 |         53 |                           numpy._typing._shape
import time:       783 |       1109 |                         numpy._typing._array_like
import time:       887 |        887 |                         numpy._typing._char_codes
import time:       748 |        748 |                         numpy._typing._dtype_like
import time:        64 |         64 |                         numpy._typing._nbit
import time:        65 |         65 |                         numpy._typing._scalars
import time:        54 |         54 |                         numpy._typing._ufunc
import time:       366 |       3291 |                       numpy._typing
import time:       109 |        109 |                         numpy.lib._stride_tricks_impl
import time:       230 |        339 |                       numpy.lib._twodim_base_impl
import time:        63 |         63 |                         numpy.lib._array_utils_impl
import time:        95 |        158 |                       numpy.lib.array_utils
import time:      1072 |       1072 |                       numpy.linalg._umath_linalg
import time:       832 |       5689 |                     numpy.linalg._linalg
import time:       363 |       6051 |                   numpy.linalg
import time:       139 |       6190 |                 numpy.matrixlib.defmatrix
import time:       186 |       6376 |               numpy.matrixlib
import time:       118 |        118 |                 numpy.lib._histograms_impl
import time:       532 |        650 |               numpy.lib._function_base_impl
import time:       548 |       7573 |             numpy.lib._index_tricks_impl
import time:       249 |       7821 |           numpy.lib._arraypad_impl
import time:       310 |        310 |           numpy.lib._arraysetops_impl
import time:        75 |         75 |           numpy.lib._arrayterator_impl
import time:       201 |        201 |           numpy.lib._nanfunctions_impl
import time:       101 |        101 |                 numpy.lib._utils_impl
import time:       192 |        292 |               numpy.lib._format_impl
import time:       152 |        444 |             numpy.lib.format
import time:       142 |        142 |             numpy.lib._datasource
import time:       144 |        144 |             numpy.lib._iotools
import time:       411 |       1140 |           numpy.lib._npyio_impl
import time:        80 |         80 |               numpy.lib._ufunclike_impl
import time:       154 |        234 |             numpy.lib._type_check_impl
import time:       285 |        518 |           numpy.lib._polynomial_impl
import time:       198 |        198 |           numpy.lib._shape_base_impl
import time:        66 |         66 |           numpy.lib._version
import time:        50 |         50 |           numpy.lib.introspect
import time:        76 |         76 |           numpy.lib.mixins
import time:       258 |        258 |           numpy.lib.npyio
import time:       106 |        106 |             numpy.lib._scimath_impl
import time:       123 |        229 |           numpy.lib.scimath
import time:        51 |         51 |           numpy.lib.stride_tricks
import time:       232 |      11219 |         numpy.lib
import time:        78 |         78 |         numpy._array_api_info
import time:      1559 |      29791 |       numpy
import time:       872 |        872 |             typing_extensions
import time:        54 |         54 |             pyvista._version
import time:        54 |         54 |             pyvista._warn_external
import time:       500 |       1478 |           pyvista._deprecate_positional_args
import time:       272 |       1750 |         pyvista._plot
import time:       298 |        298 |               pyvista._vtk
import time:       180 |        180 |                   numpy._typing._add_docstring
import time:       110 |        289 |                 numpy.typing
import time:       255 |        543 |               pyvista.core._typing_core._array_like
import time:      7926 |       7926 |               vtkmodules.vtkCommonCore
import time:        57 |         57 |               vtkmodules.numpy_interface
import time:        68 |         68 |                   vtkmodules.util.vtkConstants
import time:       133 |        200 |                 vtkmodules.util.numpy_support
import time:      1395 |       1594 |               vtkmodules.numpy_interface.dataset_adapter
import time:      1472 |       1472 |                   vtkmodules.vtkCommonSystem
import time:      5803 |       7275 |                 vtkmodules.vtkParallelCore
import time:       128 |       7402 |               vtkmodules.util.pickle_support
import time:     26928 |      44746 |             pyvista.core._typing_core._aliases
import time:       115 |        115 |             pyvista.core._typing_core._dataset_types
import time:       213 |      45072 |           pyvista.core._typing_core
import time:        99 |         99 |               pyvista.core.config
import time:       260 |        359 |             pyvista.core._vtk_utilities
import time:      1661 |       1661 |             pyvista.core.celltype
import time:        54 |         54 |                 pyvista.typing
import time:       172 |        225 |               pyvista.typing.mypy_plugin
import time:       109 |        109 |                 copy
import time:       280 |        280 |                       pyvista.core.utilities.accessor_registry
import time:       960 |        960 |                               _json
import time:       193 |       1152 |                             json.scanner
import time:       251 |       1403 |                           json.decoder
import time:       161 |        161 |                           json.encoder
import time:       647 |       2209 |                         json
import time:       164 |        164 |                         pyvista.core.errors
import time:       357 |       2729 |                       pyvista.core.utilities.arrays
import time:       101 |        101 |                       pyvista.core.utilities.cells
import time:        59 |         59 |                               pyvista.core._validation._cast_array
import time:       285 |        343 |                             pyvista.core._validation.check
import time:       159 |        159 |                             pyvista.core._validation.validate
import time:       314 |        815 |                           pyvista.core._validation
import time:       470 |        470 |                             pyvista.core.utilities.misc
import time:       183 |        652 |                           pyvista.core.utilities.transformations
import time:       225 |        225 |                               signal
import time:       303 |        528 |                             pyvista.core.utilities.observers
import time:       534 |       1062 |                           pyvista.core.utilities.fileio
import time:       427 |       2955 |                         pyvista.core.utilities.helpers
import time:       226 |       3180 |                       pyvista.core.utilities.features
import time:      8250 |       8250 |                         pyvista.core.utilities.geometric_sources
import time:       748 |       8998 |                       pyvista.core.utilities.geometric_objects
import time:      3088 |       3088 |                       pyvista.core.utilities.image_sources
import time:       138 |        138 |                             shlex
import time:      2184 |       2184 |                                 _hashlib
